Currency,Unit,Buy,Sell
INR (Indian Rupee),100,160.00,160.15
usd (U.S. Dollar),1,130.96,131.56
eur (European Euro),1,142.63,143.28
gbp (UK Pound Sterling),1,166.48,167.25
chf (Swiss Franc),1,145.92,146.59
aud (Australian Dollar),1,87.46,87.86
cad (Canadian Dollar),1,99.34,99.79
sgd (Singapore Dollar),1,96.87,97.31
jpy (Japanese Yen),10,9.11,9.16
cny (Chinese Yuan),1,18.24,18.32
sar (Saudi Arabian Riyal),1,34.92,35.08
qar (Qatari Riyal),1,35.94,36.11
thb (Thai Baht),1,3.72,3.73
aed (UAE Dirham),1,35.66,35.82
myr (Malaysian Ringgit),1,28.00,28.13
krw (South Korean Won),100,10.01,10.05
sek (Swedish Kroner),1,12.22,12.28
dkk (Danish Kroner),1,19.16,19.25
hkd (Hong Kong Dollar),1,16.73,16.80
kwd (Kuwaity Dinar),1,425.97,427.92
bhd (Bahrain Dinar),1,347.37,348.97
